Datetime,C1,C2,T (° F),water temperature,specific conductance,salinity,DO,pH,turbidity1,turbidity2
2018-12-04 12:44:00,1.556,2.205,51.1,6.3,44700,28.9,11.1,8.1,5.0,
2018-12-04 12:45:00,1.554,2.207,51.0,6.3,44700,28.9,11.1,8.1,5.0,
2018-12-04 12:46:00,1.554,2.211,51.0,6.3,44700,28.9,11.1,8.1,5.0,
2018-12-04 12:47:00,1.552,2.207,51.0,6.3,44700,28.9,11.1,8.1,5.0,
2018-12-04 12:48:00,1.55,2.201,50.9,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 12:49:00,1.551,2.197,50.9,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 12:50:00,1.55,2.195,50.9,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 12:51:00,1.548,2.189,50.9,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 12:52:00,1.548,2.194,50.9,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 12:53:00,1.548,2.201,51.0,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 12:54:00,1.547,2.206,51.0,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 12:55:00,1.545,2.203,50.9,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 12:56:00,1.546,2.193,51.0,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 12:57:00,1.545,2.186,51.1,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 12:58:00,1.544,2.182,51.1,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 12:59:00,1.543,2.174,51.1,6.3,44700,28.9,11.1,8.1,5.1,
2018-12-04 13:00:00,1.544,2.168,51.1,6.3,44700,28.9,11.1,8.1,5.0,
2018-12-04 13:01:00,1.546,2.172,51.2,6.3,44700,28.9,11.1,8.1,5.0,
2018-12-04 13:02:00,1.545,2.174,51.1,6.3,44700,28.9,11.1,8.1,5.0,
2018-12-04 13:03:00,1.546,2.174,51.2,6.3,44700,28.9,11.1,8.1,5.0,
2018-12-04 13:04:00,1.547,2.176,51.2,6.3,44700,28.9,11.1,8.1,5.0,
2018-12-04 13:05:00,1.548,2.186,51.2,6.3,44700,28.9,11.1,8.1,5.0,
2018-12-04 13:06:00,1.547,2.185,51.2,6.3,44600,28.8,11.1,8.1,2.4,
